IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.21.57.155,4,4,0.00,165.06,21.46
188.114.99.215,4,4,0.00,164.47,20.98
104.21.219.159,4,4,0.00,165.78,17.63
104.21.210.134,4,4,0.00,165.55,15.53
104.21.220.121,4,4,0.00,165.14,11.23
172.64.203.222,4,4,0.00,165.60,10.74
104.21.123.175,4,4,0.00,165.44,10.74
104.21.122.150,4,4,0.00,163.62,10.52
104.21.205.212,4,4,0.00,165.89,10.37
188.114.96.15,4,4,0.00,165.37,9.92
104.21.55.167,4,4,0.00,164.69,9.59
104.21.193.206,4,4,0.00,164.58,9.48
104.21.2.208,4,4,0.00,165.80,9.14
173.245.49.87,4,4,0.00,165.38,8.90
172.64.199.154,4,4,0.00,165.63,8.64
104.21.218.38,4,4,0.00,164.29,8.61
104.21.125.84,4,4,0.00,165.00,8.58
172.67.159.81,4,4,0.00,164.36,8.06
104.21.81.36,4,4,0.00,165.19,6.61
